day,group,zone_wind,meridian_wind,humidity,air_temperature,sea_temperature
12,125W,-4.75,0.47,82.18,25.61,25.96
13,125W,-4.95,0.78,80.12,25.67,26.04
1,110W,-5.08,2.36,85.72,27.36,27.73
2,110W,-3.42,3.54,83.98,27.13,27.63
3,110W,-0.42,3.9,84.2,26.95,27.46
4,110W,0.6,1.4,83.96,26.63,27.47
5,110W,-1.82,1.8,84.16,26.76,27.56
6,110W,-2.62,0.56,85.24,26.74,27.56
7,110W,-2.72,0.76,85.58,26.62,27.51
8,110W,-3.02,2.08,84.88,26.71,27.37
9,110W,-2.08,1.26,84.9,26.68,27.33
10,110W,-2.62,0.9,84.22,26.63,27.22
11,110W,-1.9,1.0,84.42,26.73,27.25
12,110W,-1.42,2.08,84.88,26.19,27.15
13,110W,-1.58,3.58,83.98,26.47,27.34
1,95W,-4.7,4.1,84.14,27.32,27.55
2,95W,-3.52,3.3,83.43,27.36,27.47
3,95W,-2.13,3.23,85.21,26.73,27.25
4,95W,1.23,2.82,83.97,26.98,27.17
5,95W,-1.67,2.32,83.5,26.95,27.27
6,95W,-2.54,2.72,84.42,26.88,27.8
7,95W,-3.97,3.0,83.75,27.18,27.1
8,95W,-3.7,1.92,70.34,26.75,27.21
9,95W,-2.68,1.72,82.57,27.18,27.13
10,95W,-2.22,1.54,83.77,27.2,26.11
11,95W,-2.5,0.8,82.62,27.48,26.55
12,95W,-1.72,2.18,85.75,26.91,26.55
13,95W,-1.52,3.0,85.83,26.8,26.31
1,156E,-4.54,-3.02,83.24,28.59,29.27
2,156E,-4.7,-2.62,82.24,28.5,29.24
3,156E,-5.1,-1.88,82.46,28.41,29.31
4,156E,-4.14,-0.9,84.02,28.25,29.3
5,156E,-3.84,-2.54,83.82,28.29,29.31
6,156E,-2.48,-3.54,81.62,28.55,29.34
7,156E,-2.84,-3.04,82.7,28.09,29.24
8,156E,-3.0,-0.1,83.16,28.03,29.24
9,156E,-2.86,-1.3,83.26,28.12,29.29
10,156E,-3.56,-2.44,84.58,28.77,29.26
11,156E,-5.26,-4.56,84.45,28.67,29.18
12,156E,-6.42,-1.96,83.95,28.62,29.11
13,156E,-6.46,-1.2,84.58,28.56,29.07
1,165E,-3.0,-3.32,86.24,27.95,28.86
2,165E,-3.56,-2.0,84.82,28.28,28.96
3,165E,-4.32,-0.76,84.42,28.37,29.02
4,165E,-4.82,-1.94,86.42,28.43,29.06
5,165E,-3.38,-3.14,83.4,28.39,29.05
6,165E,-1.24,-2.54,83.16,28.12,29.02
7,165E,-3.28,-1.08,84.96,27.79,28.92
8,165E,-3.18,1.76,85.5,27.98,28.91
9,165E,-3.68,-1.24,87.18,27.77,28.93
10,165E,-4.9,-3.82,86.65,27.85,28.88
11,165E,-4.88,-2.42,85.15,27.93,28.84
12,165E,-5.67,-0.25,87.1,28.29,28.86
13,165E,-5.83,-1.33,89.33,28.27,28.91
